"DATE","TIME PERIOD","Compounded euro short-term rate average rate, 12 months tenor (EST.B.EU000A2QQF57.CR)"
"2021-08-03","03 Aug 2021","-0.55924"
"2021-08-04","04 Aug 2021","-0.55929"
"2021-08-05","05 Aug 2021","-0.55934"
"2021-08-06","06 Aug 2021","-0.55938"
"2021-08-09","09 Aug 2021","-0.55946"
"2021-08-10","10 Aug 2021","-0.55955"
"2021-08-11","11 Aug 2021","-0.55959"
"2021-08-12","12 Aug 2021","-0.55963"
"2021-08-13","13 Aug 2021","-0.55967"
"2021-08-16","16 Aug 2021","-0.55975"
"2021-08-17","17 Aug 2021","-0.55988"
"2021-08-18","18 Aug 2021","-0.55992"
"2021-08-19","19 Aug 2021","-0.55996"
"2021-08-20","20 Aug 2021","-0.56000"
"2021-08-23","23 Aug 2021","-0.56005"
"2021-08-24","24 Aug 2021","-0.56014"
"2021-08-25","25 Aug 2021","-0.56018"
"2021-08-26","26 Aug 2021","-0.56021"
"2021-08-27","27 Aug 2021","-0.56026"
"2021-08-30","30 Aug 2021","-0.56034"
"2021-08-31","31 Aug 2021","-0.56045"
"2021-09-01","01 Sep 2021","-0.56048"
"2021-09-02","02 Sep 2021","-0.56052"
"2021-09-03","03 Sep 2021","-0.56056"
"2021-09-06","06 Sep 2021","-0.56063"
"2021-09-07","07 Sep 2021","-0.56074"
"2021-09-08","08 Sep 2021","-0.56079"
"2021-09-09","09 Sep 2021","-0.56084"
"2021-09-10","10 Sep 2021","-0.56088"
"2021-09-13","13 Sep 2021","-0.56095"
"2021-09-14","14 Sep 2021","-0.56106"
"2021-09-15","15 Sep 2021","-0.56110"
"2021-09-16","16 Sep 2021","-0.56116"
"2021-09-17","17 Sep 2021","-0.56119"
"2021-09-20","20 Sep 2021","-0.56127"
"2021-09-21","21 Sep 2021","-0.56138"
"2021-09-22","22 Sep 2021","-0.56143"
"2021-09-23","23 Sep 2021","-0.56147"
"2021-09-24","24 Sep 2021","-0.56152"
"2021-09-27","27 Sep 2021","-0.56159"
"2021-09-28","28 Sep 2021","-0.56169"
"2021-09-29","29 Sep 2021","-0.56174"
"2021-09-30","30 Sep 2021","-0.56179"
"2021-10-01","01 Oct 2021","-0.56181"
"2021-10-04","04 Oct 2021","-0.56188"
"2021-10-05","05 Oct 2021","-0.56197"
"2021-10-06","06 Oct 2021","-0.56201"
"2021-10-07","07 Oct 2021","-0.56205"
"2021-10-08","08 Oct 2021","-0.56208"
"2021-10-11","11 Oct 2021","-0.56214"
"2021-10-12","12 Oct 2021","-0.56225"
"2021-10-13","13 Oct 2021","-0.56227"
"2021-10-14","14 Oct 2021","-0.56231"
"2021-10-15","15 Oct 2021","-0.56234"
