"DATE","TIME PERIOD","Compounded euro short-term rate average rate, 12 months tenor (EST.B.EU000A2QQF57.CR)"
"2021-10-18","18 Oct 2021","-0.56242"
"2021-10-19","19 Oct 2021","-0.56255"
"2021-10-20","20 Oct 2021","-0.56260"
"2021-10-21","21 Oct 2021","-0.56265"
"2021-10-22","22 Oct 2021","-0.56271"
"2021-10-25","25 Oct 2021","-0.56277"
"2021-10-26","26 Oct 2021","-0.56289"
"2021-10-27","27 Oct 2021","-0.56294"
"2021-10-28","28 Oct 2021","-0.56299"
"2021-10-29","29 Oct 2021","-0.56304"
"2021-11-01","01 Nov 2021","-0.56325"
"2021-11-02","02 Nov 2021","-0.56328"
"2021-11-03","03 Nov 2021","-0.56332"
"2021-11-04","04 Nov 2021","-0.56338"
"2021-11-05","05 Nov 2021","-0.56342"
"2021-11-08","08 Nov 2021","-0.56349"
"2021-11-09","09 Nov 2021","-0.56358"
"2021-11-10","10 Nov 2021","-0.56363"
"2021-11-11","11 Nov 2021","-0.56368"
"2021-11-12","12 Nov 2021","-0.56373"
"2021-11-15","15 Nov 2021","-0.56382"
"2021-11-16","16 Nov 2021","-0.56392"
"2021-11-17","17 Nov 2021","-0.56395"
"2021-11-18","18 Nov 2021","-0.56399"
"2021-11-19","19 Nov 2021","-0.56403"
"2021-11-22","22 Nov 2021","-0.56410"
"2021-11-23","23 Nov 2021","-0.56420"
"2021-11-24","24 Nov 2021","-0.56425"
"2021-11-25","25 Nov 2021","-0.56429"
"2021-11-26","26 Nov 2021","-0.56434"
"2021-11-29","29 Nov 2021","-0.56441"
"2021-11-30","30 Nov 2021","-0.56452"
"2021-12-01","01 Dec 2021","-0.56456"
"2021-12-02","02 Dec 2021","-0.56460"
"2021-12-03","03 Dec 2021","-0.56465"
"2021-12-06","06 Dec 2021","-0.56477"
"2021-12-07","07 Dec 2021","-0.56490"
"2021-12-08","08 Dec 2021","-0.56496"
"2021-12-09","09 Dec 2021","-0.56501"
"2021-12-10","10 Dec 2021","-0.56507"
"2021-12-13","13 Dec 2021","-0.56518"
"2021-12-14","14 Dec 2021","-0.56530"
"2021-12-15","15 Dec 2021","-0.56535"
"2021-12-16","16 Dec 2021","-0.56542"
"2021-12-17","17 Dec 2021","-0.56547"
"2021-12-20","20 Dec 2021","-0.56557"
